resource,attribute_path,detector_kind,detector_name,family,attr_class,base_weight,class_multiplier,weight,provenance,product,is_iam,file_path:line,notes
google_compute_target_pool,CustomizeDiff,CustomizeDiff,tpgresource.DefaultProviderRegion,CustomizeDiff,Optional,1.5,1.5,2.25,Handwritten,compute,false,google-beta/services/compute/resource_compute_target_pool.go:55,
google_compute_target_pool,health_checks,DiffSuppressFunc,tpgresource.CompareSelfLinkOrResourceName,Representation,Optional,1.0,1.0,1.0,Handwritten,compute,false,google-beta/services/compute/resource_compute_target_pool.go:95,
google_compute_target_pool,instances,StateFunc,canonicalizeInstanceRef,Representation,Optional+Computed,1.0,1.1,1.1,Handwritten,compute,false,google-beta/services/compute/resource_compute_target_pool.go:107,
google_compute_target_pool,instances,SetHash,schema.HashString(canonicalizeInstanceRef),Ordering,Optional+Computed,1.0,1.2,1.2,Handwritten,compute,false,google-beta/services/compute/resource_compute_target_pool.go:111,
google_dns_record_set,CustomizeDiff,CustomizeDiff,tpgresource.DefaultProviderProject,CustomizeDiff,Optional,1.5,1.5,2.25,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:113,
google_dns_record_set,managed_zone,DiffSuppressFunc,tpgresource.CompareSelfLinkOrResourceName,Representation,Required,1.0,1.2,1.2,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:122,
google_dns_record_set,rrdatas,DiffSuppressFunc,rrdatasDnsDiffSuppress,Representation,Optional,1.0,1.0,1.0,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:140,
google_dns_record_set,routing_policy,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:145,
google_dns_record_set,routing_policy.wrr,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:152,
google_dns_record_set,routing_policy.wrr.health_checked_targets,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:170,
google_dns_record_set,routing_policy.geo,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:182,
google_dns_record_set,routing_policy.geo.health_checked_targets,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:279,
google_dns_record_set,routing_policy.primary_backup,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:195,
google_dns_record_set,routing_policy.primary_backup.primary,NestedBlock,TypeList,NestedBlock,Required,4.0,1.0,4.0,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:202,
google_dns_record_set,routing_policy.primary_backup.primary.health_checked_targets,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:284,
google_dns_record_set,routing_policy.primary_backup.backup_geo,NestedBlock,TypeList,NestedBlock,Required,4.0,1.0,4.0,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:209,
google_dns_record_set,routing_policy.primary_backup.backup_geo.health_checked_targets,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:279,backup geo reuses geoPolicySchema
google_dns_record_set,health_checked_targets,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:280,
google_dns_record_set,health_checked_targets.internal_load_balancers,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:291,
google_dns_record_set,health_checked_targets.internal_load_balancers.load_balancer_type,DiffSuppressFunc,lbTypeNoneDiffSuppress,Representation,Optional,1.0,1.0,1.0,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:300,
google_dns_record_set,health_checked_targets.internal_load_balancers.network_url,DiffSuppressFunc,tpgresource.CompareSelfLinkOrResourceName,Representation,Required,1.0,1.2,1.2,Handwritten,dns,false,google-beta/services/dns/resource_dns_record_set.go:323,
google_bigtable_gc_policy,CustomizeDiff,CustomizeDiff,resourceBigtableGCPolicyCustomizeDiff,CustomizeDiff,Optional,1.5,1.5,2.25,Handwritten,bigtable,false,google-beta/services/bigtable/resource_bigtable_gc_policy.go:117,
google_bigtable_gc_policy,instance_name,DiffSuppressFunc,tpgresource.CompareResourceNames,Representation,Required,1.0,1.2,1.2,Handwritten,bigtable,false,google-beta/services/bigtable/resource_bigtable_gc_policy.go:129,
google_bigtable_gc_policy,gc_rules,DiffSuppressFunc,gcRulesDiffSuppress,Representation,Optional,1.0,1.0,1.0,Handwritten,bigtable,false,google-beta/services/bigtable/resource_bigtable_gc_policy.go:157,
google_bigtable_gc_policy,gc_rules,StateFunc,structure.NormalizeJsonString,Representation,Optional,1.0,1.0,1.0,Handwritten,bigtable,false,google-beta/services/bigtable/resource_bigtable_gc_policy.go:153,
google_bigtable_gc_policy,max_age,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,bigtable,false,google-beta/services/bigtable/resource_bigtable_gc_policy.go:170,
google_bigtable_gc_policy,max_version,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,bigtable,false,google-beta/services/bigtable/resource_bigtable_gc_policy.go:200,
google_cloudfunctions_function,CustomizeDiff,CustomizeDiff,tpgresource.DefaultProviderProject,CustomizeDiff,Optional,1.5,1.5,2.25,Handwritten,cloudfunctions,false,google-beta/services/cloudfunctions/resource_cloudfunctions_function.go:161,
google_cloudfunctions_function,CustomizeDiff,CustomizeDiff,tpgresource.DefaultProviderRegion,CustomizeDiff,Optional,1.5,1.5,2.25,Handwritten,cloudfunctions,false,google-beta/services/cloudfunctions/resource_cloudfunctions_function.go:162,
google_cloudfunctions_function,CustomizeDiff,CustomizeDiff,tpgresource.SetLabelsDiff,CustomizeDiff,Optional,1.5,1.5,2.25,Handwritten,cloudfunctions,false,google-beta/services/cloudfunctions/resource_cloudfunctions_function.go:163,
google_cloudfunctions_function,vpc_connector,DiffSuppressFunc,tpgresource.CompareSelfLinkOrResourceName,Representation,Optional,1.0,1.0,1.0,Handwritten,cloudfunctions,false,google-beta/services/cloudfunctions/resource_cloudfunctions_function.go:327,
google_cloudfunctions_function,event_trigger.resource,DiffSuppressFunc,compareSelfLinkOrResourceNameWithMultipleParts,Representation,Required,1.0,1.2,1.2,Handwritten,cloudfunctions,false,google-beta/services/cloudfunctions/resource_cloudfunctions_function.go:368,
google_cloudfunctions_function,source_repository,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,cloudfunctions,false,google-beta/services/cloudfunctions/resource_cloudfunctions_function.go:194,
google_cloudfunctions_function,event_trigger,NestedBlock,TypeList,NestedBlock,Optional+Computed,4.0,1.0,4.0,Handwritten,cloudfunctions,false,google-beta/services/cloudfunctions/resource_cloudfunctions_function.go:350,
google_cloudfunctions_function,event_trigger.failure_policy,NestedBlock,TypeList,NestedBlock,Optional+Computed,4.0,1.0,4.0,Handwritten,cloudfunctions,false,google-beta/services/cloudfunctions/resource_cloudfunctions_function.go:371,
google_cloudfunctions_function,secret_environment_variables,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,cloudfunctions,false,google-beta/services/cloudfunctions/resource_cloudfunctions_function.go:436,
google_cloudfunctions_function,secret_volumes,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,cloudfunctions,false,google-beta/services/cloudfunctions/resource_cloudfunctions_function.go:467,
google_cloudfunctions_function,secret_volumes.versions,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,cloudfunctions,false,google-beta/services/cloudfunctions/resource_cloudfunctions_function.go:489,
google_cloudfunctions_function,automatic_update_policy,NestedBlock,TypeList,NestedBlock,Optional+Computed,4.0,1.0,4.0,Handwritten,cloudfunctions,false,google-beta/services/cloudfunctions/resource_cloudfunctions_function.go:512,
google_cloudfunctions_function,on_deploy_update_policy,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,Handwritten,cloudfunctions,false,google-beta/services/cloudfunctions/resource_cloudfunctions_function.go:524,
google_bigtable_instance_iam_binding,members,DiffSuppressFunc,tpgresource.CaseDiffSuppress,Representation,Required,1.0,1.2,1.2,HandwrittenIAM,bigtable,true,google-beta/tpgiamresource/resource_iam_binding.go:45,
google_bigtable_instance_iam_binding,members,SetHash,schema.HashString(strings.ToLower),Ordering,Required,1.0,1.1,1.1,HandwrittenIAM,bigtable,true,google-beta/tpgiamresource/resource_iam_binding.go:49,
google_bigtable_instance_iam_binding,condition,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,HandwrittenIAM,bigtable,true,google-beta/tpgiamresource/resource_iam_binding.go:52,
google_bigquery_dataset_iam_member,member,DiffSuppressFunc,iamMemberCaseDiffSuppress,Representation,Required,1.0,1.2,1.2,HandwrittenIAM,bigquery,true,google-beta/tpgiamresource/resource_iam_member.go:70,
google_bigquery_dataset_iam_member,condition,NestedBlock,TypeList,NestedBlock,Optional,4.0,0.9,3.6,HandwrittenIAM,bigquery,true,google-beta/tpgiamresource/resource_iam_member.go:76,
google_billing_account_iam_policy,policy_data,DiffSuppressFunc,jsonPolicyDiffSuppress,Representation,Required,1.0,1.2,1.2,HandwrittenIAM,billing,true,google-beta/tpgiamresource/resource_iam_policy.go:34,
google_folder_iam_audit_config,audit_log_config,NestedBlock,TypeSet,NestedBlock,Required,4.0,1.0,4.0,HandwrittenIAM,resourcemanager,true,google-beta/tpgiamresource/resource_iam_audit_config.go:23,
